strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
CHN/CZCDC082/2023|C_AA013967.1|2023-04-13		2023/4/13	China	Homo sapiens	Complete	29820	22B (Omicron)	BA.5.2.48
CHN/DYCDC-2023027/2023|C_AA013780.1|2023-04-17		2023/4/17	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/FJ-2021BD-VIR-SPE-_2689/2022|C_AA004489.1|2022-11-29		2022/11/29	China	Homo sapiens	Complete	29661	22B (Omicron)	BA.5.2.48
CHN/FJ-2021BD-VIR-SPE-_2690/2022|C_AA004490.1|2022-11-29		2022/11/29	China	Homo sapiens	Complete	29791	22B (Omicron)	BA.5.2.48
CHN/FJ-2023010611/2023|C_AA004511.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/FJ-2023010623/2023|C_AA004523.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/FJ-2023010642/2023|C_AA004542.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/FJ-2023010644/2023|C_AA004544.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/FJ-2023010645/2023|C_AA004545.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/FJ-202301RB038/2023|C_AA004547.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29791	22B (Omicron)	BA.5.2.48
CHN/FJ-202301RB040/2023|C_AA004549.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29792	22B (Omicron)	BA.5.2.48
CHN/FJ-202301RB043/2023|C_AA004551.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29791	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S049/2023|C_AA004559.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S058/2023|C_AA004568.1|2023-01-05		2023/1/5	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S071/2023|C_AA004580.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S075/2023|C_AA004584.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S083/2023|C_AA004590.1|2023-01-10		2023/1/10	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S087/2023|C_AA004594.1|2023-01-11		2023/1/11	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S096/2023|C_AA004601.1|2023-01-14		2023/1/14	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202301S103/2023|C_AA004608.1|2023-01-15		2023/1/15	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202302S062/2023|C_AA005233.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29771	22B (Omicron)	BA.5.2.48
CHN/FJ-202302S063/2023|C_AA005234.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29792	22B (Omicron)	BA.5.2.48
CHN/FJ-202302S064/2023|C_AA005235.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/FJ-202302S067/2023|C_AA005238.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/FJ-202302S074/2023|C_AA005241.1|2023-02-18		2023/2/18	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/FJ-202303S002/2023|C_AA005249.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29799	22B (Omicron)	BA.5.2.48
CHN/FJ-202303S016/2023|C_AA005262.1|2023-03-04		2023/3/4	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-202303S033/2023|C_AA005276.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/FJ-202303S044/2023|C_AA005284.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29792	22B (Omicron)	BA.5.2.48
CHN/FJ-202303S048/2023|C_AA005286.1|2023-03-12		2023/3/12	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/FJ-FZ23LG00700/2023|C_AA005304.1|2023-03-02		2023/3/2	China	Homo sapiens	Complete	29698	22B (Omicron)	BA.5.2.48
CHN/FJ-FZ23LG00762/2023|C_AA005308.1|2023-03-09		2023/3/9	China	Homo sapiens	Complete	29828	22B (Omicron)	BA.5.2.48
CHN/FJ-LY-2676/2022|C_AA004663.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29770	22B (Omicron)	BA.5.2.48
CHN/FJ-PTNCOV015/2022|C_AA004688.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29685	22B (Omicron)	BA.5.2.48
CHN/FJ-PTNCOV018/2022|C_AA004690.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29685	22B (Omicron)	BA.5.2.48
CHN/FJ-PTNCOV081/2023|C_AA005329.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29685	22B (Omicron)	BA.5.2.48
CHN/FJ-PTNCOV082/2023|C_AA005330.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29685	22B (Omicron)	BA.5.2.48
CHN/FJ-SM230054/2023|C_AA004699.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29772	22B (Omicron)	BA.5.2.48
CHN/FJ-SM230058/2023|C_AA004700.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29743	22B (Omicron)	BA.5.2.48
CHN/FJ-ZZ23-044/2023|C_AA004703.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/FJ-nd20230017/2023|C_AA004706.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/FJ-zz23-113/2023|C_AA004711.1|2023-01-12		2023/1/12	China	Homo sapiens	Complete	29795	22B (Omicron)	BA.5.2.48
CHN/FZ23LG00228/2023|C_AA005377.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29732	22B (Omicron)	BA.5.2.48
CHN/GDCDC_00753/2023|C_AA004075.1|2023-01-12		2023/1/12	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/GDCDC_CZ_0009/2023|C_AA004127.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29799	22B (Omicron)	BA.5.2.48
CHN/GDCDC_CZ_0010/2023|C_AA004128.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29800	22B (Omicron)	BA.5.2.48
CHN/GDCDC_CZ_0039/2023|C_AA004157.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29844	22B (Omicron)	BA.5.2.48
CHN/GDCDC_SW_0021/2023|C_AA004301.1|2023-01-30		2023/1/30	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/GDCDC_SW_0036/2023|C_AA004310.1|2023-02-20		2023/2/20	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/GDCDC_SW_0038/2023|C_AA004312.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZH_0051/2023|C_AA004396.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29718	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZJ_0053/2023|C_AA003395.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29585	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZS_0039/2023|C_AA017389.1|2023-04-20		2023/4/20	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/GSCDC-0099/2023|C_AA003098.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29664	22B (Omicron)	BA.5.2.48
CHN/GSCDC-0105/2023|C_AA003103.1|2023-02-15		2023/2/15	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/GSCDC-0109/2023|C_AA003107.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/GSCDC-0185/2023|C_AA004062.1|2023-03-23		2023/3/23	China	Homo sapiens	Complete	29740	22B (Omicron)	BA.5.2.48
CHN/GYCDC-202335/2023|C_AA011585.1|2023-02-25		2023/2/25	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GYCDC-202337/2023|C_AA011587.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HACDC079/2023|C_AA013970.1|2023-04-16		2023/4/16	China	Homo sapiens	Complete	29804	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0128/2022|C_AA006533.1|2022-12-14		2022/12/14	China	Homo sapiens	Complete	29803	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0167/2022|C_AA006537.1|2022-12-18		2022/12/18	China	Homo sapiens	Complete	29637	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0171/2022|C_AA006541.1|2022-12-18		2022/12/18	China	Homo sapiens	Complete	29636	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0178/2022|C_AA006542.1|2022-12-19		2022/12/19	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0280/2022|C_AA006557.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0327/2022|C_AA006580.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0455/2023|C_AA006606.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0478/2023|C_AA006614.1|2023-01-05		2023/1/5	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0663/2023|C_AA006623.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29843	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-1613/2023|C_AA017805.1|2023-05-06		2023/5/6	China	Homo sapiens	Complete	29747	22B (Omicron)	BA.5.2.48
CHN/HB-Huanggang-0825/2023|C_AA002340.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29683	22B (Omicron)	BA.5.2.48
CHN/HB-Huanggang-0882/2023|C_AA011597.1|2023-03-04		2023/3/4	China	Homo sapiens	Complete	29679	22B (Omicron)	BA.5.2.48
CHN/HB-Huangshi-0716/2023|C_AA006700.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0459/2023|C_AA006723.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29738	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0600/2022|C_AA006743.1|2022-12-27		2022/12/27	China	Homo sapiens	Partial	29457	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0629/2023|C_AA006751.1|2023-01-10		2023/1/10	China	Homo sapiens	Complete	29784	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0630/2023|C_AA006752.1|2023-01-14		2023/1/14	China	Homo sapiens	Complete	29785	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0632/2023|C_AA006754.1|2023-01-15		2023/1/15	China	Homo sapiens	Complete	29692	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0635/2022|C_AA006757.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29738	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0637/2022|C_AA006759.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29756	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0638/2022|C_AA006760.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29776	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0639/2022|C_AA006761.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29777	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0640/2022|C_AA006762.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29771	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0641/2023|C_AA006763.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29749	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0678/2023|C_AA006770.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0679/2023|C_AA006771.1|2023-02-17		2023/2/17	China	Homo sapiens	Complete	29668	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0684/2022|C_AA006776.1|2022-12-12		2022/12/12	China	Homo sapiens	Complete	29621	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0687/2022|C_AA006779.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0688/2022|C_AA006780.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0689/2022|C_AA006781.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0690/2022|C_AA006782.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0691/2022|C_AA006783.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0692/2022|C_AA006784.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29624	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0695/2022|C_AA006787.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0696/2022|C_AA006788.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0697/2022|C_AA006789.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0698/2022|C_AA006790.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0723/2023|C_AA006793.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-1009/2023|C_AA013375.1|2023-04-28		2023/4/28	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-1086/2023|C_AA013382.1|2023-04-30		2023/4/30	China	Homo sapiens	Complete	29751	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0700/2023|C_AA006903.1|2023-02-15		2023/2/15	China	Homo sapiens	Complete	29638	22B (Omicron)	BA.5.2.48
CHN/HB-Qianjiang-0286/2022|C_AA006940.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Shiyan-0521/2023|C_AA006990.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29689	22B (Omicron)	BA.5.2.48
CHN/HB-Shiyan-0659/2023|C_AA007001.1|2023-02-09		2023/2/9	China	Homo sapiens	Complete	29689	22B (Omicron)	BA.5.2.48
CHN/HB-Wuhan-0361/2022|C_AA007112.1|2022-12-27		2022/12/27	China	Homo sapiens	Complete	29816	22B (Omicron)	BA.5.2.48
CHN/HB-Wuhan-0615/2023|C_AA007141.1|2023-01-31		2023/1/31	China	Homo sapiens	Complete	29793	22B (Omicron)	BA.5.2.48
CHN/HB-Wuhan-0836/2023|C_AA003796.1|2023-03-22		2023/3/22	China	Homo sapiens	Complete	29811	22B (Omicron)	BA.5.2.48
CHN/HB-Wuhan-0870/2023|C_AA009736.1|2023-04-03		2023/4/3	China	Homo sapiens	Partial	29784	22B (Omicron)	BA.5.2.48
CHN/HB-Xiangyang-0130/2022|C_AA007159.1|2022-12-14		2022/12/14	China	Homo sapiens	Complete	29786	22B (Omicron)	BA.5.2.48
CHN/HB-Xiangyang-0247/2022|C_AA007165.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29753	22B (Omicron)	BA.5.2.48
CHN/HB-Xiaogan-0238/2022|C_AA007228.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/HB-Xiaogan-0617/2023|C_AA007258.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0001/2022|C_AA007265.1|2022-10-18		2022/10/18	China	Homo sapiens	Complete	29835	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0002/2022|C_AA007266.1|2022-10-18		2022/10/18	China	Homo sapiens	Complete	29837	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0003/2022|C_AA007267.1|2022-10-18		2022/10/18	China	Homo sapiens	Complete	29818	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0004/2022|C_AA007268.1|2022-10-28		2022/10/28	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0005/2022|C_AA007269.1|2022-10-28		2022/10/28	China	Homo sapiens	Complete	29798	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0006/2022|C_AA007270.1|2022-10-28		2022/10/28	China	Homo sapiens	Complete	29793	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0007/2022|C_AA007271.1|2022-10-28		2022/10/28	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0008/2022|C_AA007272.1|2022-10-28		2022/10/28	China	Homo sapiens	Complete	29785	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0009/2022|C_AA007273.1|2022-10-29		2022/10/29	China	Homo sapiens	Complete	29816	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0482/2023|C_AA007298.1|2023-01-05		2023/1/5	China	Homo sapiens	Complete	29808	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0562/2023|C_AA007301.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29837	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0710/2023|C_AA007312.1|2023-02-20		2023/2/20	China	Homo sapiens	Complete	29812	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0712/2023|C_AA007314.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-137/2023|C_AA002680.1|2023-02		Feb-23	China	Homo sapiens	Complete	29745	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-142/2023|C_AA002685.1|2023-02		Feb-23	China	Homo sapiens	Complete	29756	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-165/2023|C_AA002708.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-171/2023|C_AA002714.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-184/2023|C_AA002727.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-208/2023|C_AA002751.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-213/2023|C_AA002756.1|2023-02		Feb-23	China	Homo sapiens	Complete	29745	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-236/2023|C_AA002779.1|2023-02		Feb-23	China	Homo sapiens	Complete	29727	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-249/2023|C_AA002792.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-300/2023|C_AA002843.1|2023-03		Mar-23	China	Homo sapiens	Complete	29765	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0535/2023|C_AA003181.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29660	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0583/2023|C_AA003221.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29656	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0661/2023|C_AA003293.1|2023-03-23		2023/3/23	China	Homo sapiens	Complete	29659	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0665/2023|C_AA003297.1|2023-03-21		2023/3/21	China	Homo sapiens	Complete	29676	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0754/2023|C_AA003769.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0761/2023|C_AA003776.1|2023-03-28		2023/3/28	China	Homo sapiens	Complete	29748	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0762/2023|C_AA003777.1|2023-03-28		2023/3/28	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0773/2023|C_AA011288.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0801/2023|C_AA011305.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0803/2023|C_AA011307.1|2023-03-30		2023/3/30	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0931/2023|C_AA011427.1|2023-04-10		2023/4/10	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-1033/2023|C_AA014399.1|2023-04-23		2023/4/23	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HNCDC-2355/2023|C_AA007333.1|2023-03-23		2023/3/23	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0002/2023|C_AA008761.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29621	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0003/2023|C_AA008762.1|2023-03-15		2023/3/15	China	Homo sapiens	Complete	29676	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0004/2023|C_AA008763.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29681	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0007/2023|C_AA008766.1|2023-03-11		2023/3/11	China	Homo sapiens	Complete	29681	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0009/2023|C_AA008768.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29674	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0010/2023|C_AA008769.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29560	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0012/2023|C_AA008771.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0014/2023|C_AA012089.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29701	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0017/2023|C_AA012092.1|2023-03-10		2023/3/10	China	Homo sapiens	Complete	29701	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0022/2023|C_AA012097.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29616	22B (Omicron)	BA.5.2.48
CHN/HNLYCDC-0027/2023|C_AA012123.1|2023-03-25		2023/3/25	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/JLCDC-cc0346/2023|C_AA002960.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/JLCDC-cc0361/2023|C_AA002975.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29801	22B (Omicron)	BA.5.2.48
CHN/JLCDC-jl0269/2023|C_AA002979.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29774	22B (Omicron)	BA.5.2.48
CHN/JLCDC-ly0050/2023|C_AA002984.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29780	22B (Omicron)	BA.5.2.48
CHN/JLCDC-ly0051/2023|C_AA002985.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29784	22B (Omicron)	BA.5.2.48
CHN/JLCDC-ly0053/2023|C_AA002987.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29783	22B (Omicron)	BA.5.2.48
CHN/JLCDC-ly0059/2023|C_AA002993.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29693	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-135/2023|C_AA007423.1|2023-02-17		2023/2/17	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-146/2023|C_AA007434.1|2023-02-25		2023/2/25	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-154/2023|C_AA007442.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29801	22B (Omicron)	BA.5.2.48
CHN/JXJACDC-022/2023|C_AA004840.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29734	22B (Omicron)	BA.5.2.48
CHN/JXNCDC-091/2023|C_AA004844.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29810	22B (Omicron)	BA.5.2.48
CHN/JXSCDC-011/2023|C_AA007545.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/JXSCDC-022/2023|C_AA007556.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29786	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023001/2023|C_AA011460.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29789	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023002/2023|C_AA011461.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023003/2023|C_AA011462.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29788	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023004/2023|C_AA011463.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29758	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023005/2023|C_AA011464.1|2023-03-18		2023/3/18	China	Homo sapiens	Complete	29757	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023022/2023|C_AA011698.1|2023-04-23		2023/4/23	China	Homo sapiens	Complete	29791	22B (Omicron)	BA.5.2.48
CHN/KFCDC2023026/2023|C_AA011702.1|2023-04-23		2023/4/23	China	Homo sapiens	Complete	29785	22B (Omicron)	BA.5.2.48
CHN/LHCDC-0048/2023|C_AA008451.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29684	22B (Omicron)	BA.5.2.48
CHN/LNCDC-068-2/2023|C_AA002531.1|2023-03-15		2023/3/15	China	Homo sapiens	Complete	29679	22B (Omicron)	BA.5.2.48
CHN/LNCDC-068-3/2023|C_AA002532.1|2023-03-15		2023/3/15	China	Homo sapiens	Partial	29736	22B (Omicron)	BA.5.2.48
CHN/LNCDC-103-1/2023|C_AA012586.1|2023-04-12		2023/4/12	China	Homo sapiens	Complete	29741	22B (Omicron)	BA.5.2.48
